   2.5605895e-04   1.4536000e-03   5.6648923e-03   1.7475409e-02   4.5383718e-02
   3.7676462e-04   2.0823449e-03   7.8839039e-03   2.3561845e-02   5.9051321e-02
   5.5144916e-04   2.9669786e-03   1.0911486e-02   3.1586884e-02   7.6378825e-02
   8.0084763e-04   4.1931057e-03   1.4973366e-02   4.1967052e-02   9.7858499e-02
   1.1525650e-03   5.8695913e-03   2.0339357e-02   5.5153887e-02   1.2390754e-01
   1.6430655e-03   8.1335188e-03   2.7329016e-02   7.1625687e-02   1.5482795e-01
   2.3195292e-03   1.1153039e-02   3.6304832e-02   9.1861879e-02   1.9075916e-01
   3.2420996e-03   1.5129337e-02   4.7661527e-02   1.1627576e-01   2.3153647e-01
   4.4870663e-03   2.0303539e-02   6.1825959e-02   1.4519006e-01   2.7662065e-01
   6.1483185e-03   2.6951575e-02   7.9235242e-02   1.7879839e-01   3.2517620e-01
   8.3405471e-03   3.5381041e-02   1.0029093e-01   2.1705967e-01   3.7579056e-01
   1.1202695e-02   4.5936454e-02   1.2534200e-01   2.5961987e-01   4.2620750e-01
   1.4897298e-02   5.8981434e-02   1.5466273e-01   3.0584340e-01   4.7385341e-01
   1.9611645e-02   7.4878756e-02   1.8837104e-01   3.5474977e-01   5.1585649e-01
   2.5562920e-02   9.3978426e-02   2.2636490e-01   4.0458900e-01   5.4904671e-01
   3.2989501e-02   1.1661433e-01   2.6832820e-01   4.5327137e-01   5.6998226e-01
   4.2147459e-02   1.4303872e-01   3.1366837e-01   4.9842391e-01   5.7531274e-01
   5.3310309e-02   1.7339458e-01   3.6134462e-01   5.3739047e-01   5.6190515e-01
   6.6764577e-02   2.0770646e-01   4.0998734e-01   5.6723163e-01   5.2763742e-01
   8.2782258e-02   2.4583050e-01   4.5791436e-01   5.8492219e-01   4.7157116e-01
   1.0161696e-01   2.8740589e-01   5.0313094e-01   5.8745187e-01   3.9403488e-01
   1.2349096e-01   3.3182682e-01   5.4336211e-01   5.7230911e-01   2.9682905e-01
   1.4858979e-01   3.7824170e-01   5.7610207e-01   5.3785356e-01   1.8364947e-01
   1.7701460e-01   4.2556446e-01   5.9861926e-01   4.8336823e-01   6.0034142e-02
   2.0877244e-01   4.7248927e-01   6.0847054e-01   4.0913623e-01  -6.7195033e-02
